Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway MPG,City MPG,Popularity,MSRP,Total MPG,Price per HP
BMW,1 Series M,2011,premium unleaded (required),335,6,manual,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,coupe,26,19,3916,46135,22.5,138
BMW,1 Series,2011,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,performance",compact,convertible,28,19,3916,40650,23.5,136
BMW,1 Series,2011,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,high-performance",compact,coupe,28,20,3916,36350,24.0,121
BMW,1 Series,2011,premium unleaded (required),230,6,manual,rear wheel drive,2,"luxury,performance",compact,coupe,28,18,3916,29450,23.0,128
BMW,1 Series,2011,premium unleaded (required),230,6,manual,rear wheel drive,2,luxury,compact,convertible,28,18,3916,34500,23.0,150
BMW,1 Series,2012,premium unleaded (required),230,6,manual,rear wheel drive,2,"luxury,performance",compact,coupe,28,18,3916,31200,23.0,136
BMW,1 Series,2012,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,performance",compact,convertible,26,17,3916,44100,21.5,147
BMW,1 Series,2012,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,high-performance",compact,coupe,28,20,3916,39300,24.0,131
BMW,1 Series,2012,premium unleaded (required),230,6,manual,rear wheel drive,2,luxury,compact,convertible,28,18,3916,36900,23.0,160
BMW,1 Series,2013,premium unleaded (required),230,6,manual,rear wheel drive,2,luxury,compact,convertible,27,18,3916,37200,22.5,162
BMW,1 Series,2013,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,high-performance",compact,coupe,28,20,3916,39600,24.0,132
BMW,1 Series,2013,premium unleaded (required),230,6,manual,rear wheel drive,2,"luxury,performance",compact,coupe,28,19,3916,31500,23.5,137
BMW,1 Series,2013,premium unleaded (required),300,6,manual,rear wheel drive,2,"luxury,performance",compact,convertible,28,19,3916,44400,23.5,148
BMW,1 Series,2013,premium unleaded (required),230,6,manual,rear wheel drive,2,luxury,compact,convertible,28,19,3916,37200,23.5,162
BMW,1 Series,2013,premium unleaded (required),320,6,manual,rear wheel drive,2,"luxury,high-performance",compact,convertible,25,18,3916,48250,21.5,151
BMW,1 Series,2013,premium unleaded (required),320,6,manual,rear wheel drive,2,"luxury,high-performance",compact,coupe,28,20,3916,43550,24.0,136
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,manual,rear wheel drive,2,performance,compact,convertible,35,26,819,27495,30.5,172
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,manual,rear wheel drive,2,performance,compact,convertible,35,26,819,24995,30.5,156
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,manual,rear wheel drive,2,performance,compact,convertible,35,26,819,28195,30.5,176
BMW,2 Series,2016,premium unleaded (required),240,4,automatic,rear wheel drive,2,"luxury,performance",compact,coupe,35,23,3916,32850,29.0,137
BMW,2 Series,2016,premium unleaded (required),240,4,automatic,rear wheel drive,2,luxury,compact,convertible,34,23,3916,38650,28.5,161
BMW,2 Series,2016,premium unleaded (required),320,6,automatic,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,convertible,31,20,3916,48750,25.5,152
BMW,2 Series,2016,premium unleaded (required),240,4,automatic,all wheel drive,2,"luxury,performance",compact,coupe,35,23,3916,34850,29.0,145
BMW,2 Series,2016,premium unleaded (required),240,4,automatic,all wheel drive,2,luxury,compact,convertible,34,22,3916,40650,28.0,169
BMW,2 Series,2016,premium unleaded (required),320,6,automatic,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,coupe,31,20,3916,44150,25.5,138
BMW,2 Series,2016,premium unleaded (required),240,4,manual,rear wheel drive,2,"luxury,performance",compact,coupe,34,22,3916,32850,28.0,137
BMW,2 Series,2016,premium unleaded (required),320,6,automatic,all wheel drive,2,"factory tuner,luxury,high-performance",compact,coupe,30,20,3916,46150,25.0,144
BMW,2 Series,2016,premium unleaded (required),320,6,automatic,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,convertible,30,20,3916,50750,25.0,159
BMW,2 Series,2017,premium unleaded (recommended),335,6,automatic,all wheel drive,2,"factory tuner,luxury,high-performance",compact,coupe,31,21,3916,46450,26.0,139
BMW,2 Series,2017,premium unleaded (recommended),335,6,automatic,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,convertible,32,21,3916,49050,26.5,146
BMW,2 Series,2017,premium unleaded (recommended),335,6,automatic,all wheel drive,2,"factory tuner,luxury,high-performance",compact,convertible,32,21,3916,51050,26.5,152
BMW,2 Series,2017,premium unleaded (recommended),335,6,automatic,rear wheel drive,2,"factory tuner,luxury,high-performance",compact,coupe,32,21,3916,44450,26.5,133
BMW,2 Series,2017,premium unleaded (recommended),248,4,automatic,rear wheel drive,2,"luxury,performance",compact,convertible,34,23,3916,38950,28.5,157
BMW,2 Series,2017,premium unleaded (recommended),248,4,automatic,rear wheel drive,2,"luxury,performance",compact,coupe,35,24,3916,33150,29.5,134
BMW,2 Series,2017,premium unleaded (recommended),248,4,automatic,all wheel drive,2,"luxury,performance",compact,coupe,33,24,3916,35150,28.5,142
BMW,2 Series,2017,premium unleaded (recommended),248,4,automatic,all wheel drive,2,luxury,compact,convertible,33,23,3916,40950,28.0,165
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,25170,29.5,137
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,23950,29.5,130
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,29,18,1013,29370,23.5,100
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,21995,29.5,120
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,"flex fuel,performance",midsize,sedan,36,23,1013,26625,29.5,145
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,29,18,1013,30825,23.5,104
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,21995,29.5,120
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,27795,29.5,151
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,29,18,1013,31785,23.5,108
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,29,18,1013,29905,23.5,101
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,22490,29.5,122
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,27570,29.5,150
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,25690,29.5,140
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,24490,29.5,133
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,28,18,1013,29905,23.0,101
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,28,18,1013,31785,23.0,108
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,26685,29.5,145
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,22490,29.5,122
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,25690,29.5,140
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,automatic,all wheel drive,4,"flex fuel,performance",midsize,sedan,28,18,1013,30900,23.0,105
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,27795,29.5,151
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,21995,29.5,120
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,automatic,front wheel drive,4,flex fuel,midsize,sedan,36,23,1013,24490,29.5,133
Nissan,200SX,1996,regular unleaded,115,4,manual,front wheel drive,2,luxury,compact,coupe,36,26,2009,2000,31.0,17
Nissan,200SX,1996,regular unleaded,140,4,manual,front wheel drive,2,performance,compact,coupe,29,21,2009,2000,25.0,14
Nissan,200SX,1997,regular unleaded,140,4,manual,front wheel drive,2,performance,compact,coupe,29,21,2009,2000,25.0,14
Nissan,200SX,1997,regular unleaded,115,4,manual,front wheel drive,2,luxury,compact,coupe,35,25,2009,2000,30.0,17
Nissan,200SX,1998,regular unleaded,115,4,manual,front wheel drive,2,luxury,compact,coupe,35,25,2009,2000,30.0,17
Nissan,200SX,1998,regular unleaded,140,4,manual,front wheel drive,2,performance,compact,coupe,28,20,2009,2073,24.0,15
Nissan,240SX,1996,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,26,19,2009,3713,22.5,24
Nissan,240SX,1996,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,26,19,2009,3520,22.5,23
Nissan,240SX,1997,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,26,19,2009,3910,22.5,25
Nissan,240SX,1997,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,26,19,2009,4182,22.5,27
Nissan,240SX,1997,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,26,19,2009,4107,22.5,26
Nissan,240SX,1998,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,25,20,2009,4299,22.5,28
Nissan,240SX,1998,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,25,20,2009,4693,22.5,30
